99.83.147.72, Amplification: 1.875
99.99.99.193, Amplification: 4.5
99.79.50.252, Amplification: 1.875
99.79.182.170, Amplification: 1.875
99.93.24.105, Amplification: 1.875
99.192.213.74, Amplification: 7.25
98.63.180.237, Amplification: 6.125
99.50.12.13, Amplification: 4.5
99.23.52.62, Amplification: 4.5
98.28.219.202, Amplification: 1.875
99.92.207.51, Amplification: 4.5
99.87.255.60, Amplification: 1.875
98.26.23.128, Amplification: 4.5
99.227.243.184, Amplification: 4.125
99.165.192.234, Amplification: 1.875
98.240.71.185, Amplification: 4.5
99.165.192.233, Amplification: 1.875
98.213.199.84, Amplification: 1.875
98.240.71.0, Amplification: 4.5
98.213.192.240, Amplification: 1.875
98.128.146.146, Amplification: 4.125
98.213.199.40, Amplification: 1.875
98.240.114.161, Amplification: 4.5
98.213.193.157, Amplification: 1.875
98.186.137.171, Amplification: 4.5
98.213.198.102, Amplification: 1.875
98.213.193.3, Amplification: 1.875
98.213.192.217, Amplification: 1.875
98.213.193.14, Amplification: 1.875
98.213.193.72, Amplification: 1.875
98.213.192.223, Amplification: 1.875
98.223.105.133, Amplification: 12.875
98.213.192.142, Amplification: 1.875
98.175.26.238, Amplification: 16.0
98.175.202.206, Amplification: 4.5
98.185.36.75, Amplification: 4.5
98.255.63.26, Amplification: 1.875
98.179.140.179, Amplification: 1.875
98.185.37.215, Amplification: 4.5
98.180.39.214, Amplification: 4.5
98.185.37.213, Amplification: 4.5
98.173.248.93, Amplification: 4.5
98.114.102.244, Amplification: 9.625
98.114.102.243, Amplification: 9.625
98.177.140.42, Amplification: 1.875
98.175.116.85, Amplification: 4.5
98.124.65.10, Amplification: 4.5
98.164.41.54, Amplification: 17.0
98.154.99.2, Amplification: 1.875
98.103.153.234, Amplification: 1.875
98.179.253.140, Amplification: 2.3125
98.175.17.188, Amplification: 4.5
98.172.87.182, Amplification: 6.125
99.42.199.193, Amplification: 17.5
98.153.167.29, Amplification: 1.875
98.153.113.3, Amplification: 10.96875
98.175.83.14, Amplification: 4.5
98.121.86.8, Amplification: 4.5
98.101.240.164, Amplification: 4.5
98.100.232.5, Amplification: 1.875
98.154.40.78, Amplification: 1.875
98.153.106.210, Amplification: 1.875
98.102.248.54, Amplification: 1.875
98.224.247.4, Amplification: 1.875
98.102.153.162, Amplification: 4.5
98.102.248.165, Amplification: 1.875
98.102.175.62, Amplification: 1.875
98.154.6.138, Amplification: 9.625
98.102.248.162, Amplification: 1.875
98.154.21.253, Amplification: 1.875
97.84.39.242, Amplification: 6.625
98.189.213.222, Amplification: 1.875
98.152.244.34, Amplification: 8.875
98.103.91.242, Amplification: 1.875
98.102.32.246, Amplification: 1.875
97.79.42.154, Amplification: 4.5
97.75.162.89, Amplification: 1.875
98.147.126.98, Amplification: 4.125
97.87.21.84, Amplification: 1.875
96.7.137.83, Amplification: 1.875
96.90.140.166, Amplification: 1.875
97.78.189.245, Amplification: 1.875
96.7.137.47, Amplification: 1.875
97.68.172.189, Amplification: 4.5
97.81.116.109, Amplification: 4.5
96.80.250.221, Amplification: 1.875
96.8.17.2, Amplification: 8.46875
96.7.137.250, Amplification: 1.875
96.7.137.249, Amplification: 1.875
96.7.137.208, Amplification: 1.875
96.92.154.9, Amplification: 1.875
96.7.137.21, Amplification: 1.875
97.64.128.163, Amplification: 1.875
97.76.220.130, Amplification: 1.875
96.95.173.129, Amplification: 1.875
96.93.138.5, Amplification: 1.875
97.76.254.9, Amplification: 1.875
96.88.179.101, Amplification: 1.875
97.68.236.229, Amplification: 1.875
97.78.76.116, Amplification: 6.125
96.93.190.113, Amplification: 4.5
96.85.8.185, Amplification: 4.5
96.7.137.171, Amplification: 1.875
97.105.100.20, Amplification: 4.5
96.7.137.78, Amplification: 1.875
96.85.5.153, Amplification: 4.5
96.85.160.25, Amplification: 4.5
96.7.137.59, Amplification: 1.875
96.95.146.25, Amplification: 8.875
96.90.182.185, Amplification: 1.875
96.7.137.15, Amplification: 1.875
96.7.137.64, Amplification: 1.875
96.81.30.194, Amplification: 4.5
96.81.123.146, Amplification: 1.875
96.8.17.29, Amplification: 1.875
96.8.17.30, Amplification: 1.875
96.7.137.137, Amplification: 1.875
96.82.121.113, Amplification: 1.875
96.8.17.142, Amplification: 9.96875
98.152.244.50, Amplification: 13.875
96.7.136.59, Amplification: 1.875
96.7.137.230, Amplification: 1.875
96.7.137.227, Amplification: 1.875
96.82.112.155, Amplification: 1.875
96.76.14.149, Amplification: 1.875
96.7.139.1, Amplification: 1.875
96.95.146.57, Amplification: 8.875
97.74.86.124, Amplification: 4.5
96.74.213.233, Amplification: 1.875
96.7.137.188, Amplification: 1.875
96.73.116.29, Amplification: 4.5
97.94.219.213, Amplification: 1.875
96.72.81.89, Amplification: 15.75
96.7.137.31, Amplification: 1.875
96.7.137.90, Amplification: 1.875
97.77.246.129, Amplification: 4.5
97.68.172.186, Amplification: 4.5
96.70.4.50, Amplification: 4.5
96.76.237.249, Amplification: 1.875
97.105.89.2, Amplification: 4.5
96.71.85.74, Amplification: 4.5
98.248.218.172, Amplification: 13.875
96.8.17.130, Amplification: 1.875
96.77.10.41, Amplification: 12.25
96.7.137.32, Amplification: 1.875
96.85.69.170, Amplification: 1.875
96.72.43.162, Amplification: 1.875
97.65.124.6, Amplification: 1.875
96.7.138.2, Amplification: 1.875
96.7.137.184, Amplification: 1.875
96.7.137.92, Amplification: 1.875
96.8.17.26, Amplification: 1.875
96.70.61.241, Amplification: 1.875
96.8.17.131, Amplification: 1.875
96.8.17.139, Amplification: 9.96875
96.7.137.231, Amplification: 1.875
96.70.163.93, Amplification: 6.625
96.73.229.181, Amplification: 4.5
96.7.137.169, Amplification: 1.875
96.7.137.150, Amplification: 1.875
96.76.85.122, Amplification: 8.875
96.7.137.162, Amplification: 1.875
96.80.157.89, Amplification: 1.875
96.7.137.142, Amplification: 1.875
96.7.137.63, Amplification: 1.875
96.71.163.49, Amplification: 1.875
96.7.137.140, Amplification: 1.875
98.243.171.106, Amplification: 1.875
96.7.136.99, Amplification: 1.875
96.7.136.86, Amplification: 1.875
96.78.147.162, Amplification: 1.875
96.7.136.77, Amplification: 1.875
96.7.136.41, Amplification: 1.875
96.7.136.63, Amplification: 1.875
96.7.136.254, Amplification: 1.875
97.74.87.35, Amplification: 4.5
98.238.181.142, Amplification: 1.875
96.7.139.2, Amplification: 1.875
96.7.136.249, Amplification: 1.875
96.7.136.4, Amplification: 1.875
96.7.136.242, Amplification: 1.875
96.7.136.244, Amplification: 1.875
96.7.136.199, Amplification: 1.875
96.7.136.231, Amplification: 1.875
96.7.136.169, Amplification: 1.875
96.7.136.227, Amplification: 1.875
96.7.136.159, Amplification: 1.875
96.7.136.2, Amplification: 1.875
96.7.136.188, Amplification: 1.875
96.7.136.140, Amplification: 1.875
96.7.136.216, Amplification: 1.875
96.7.136.144, Amplification: 1.875
96.7.136.146, Amplification: 1.875
96.7.136.115, Amplification: 1.875
96.7.136.111, Amplification: 1.875
96.7.136.114, Amplification: 1.875
96.7.136.123, Amplification: 1.875
96.45.45.45, Amplification: 6.625
96.45.46.46, Amplification: 6.625
96.7.136.66, Amplification: 1.875
96.7.136.90, Amplification: 1.875
95.96.71.101, Amplification: 1.875
96.246.89.243, Amplification: 1.875
96.36.248.12, Amplification: 4.5
97.90.103.53, Amplification: 1.875
96.71.165.73, Amplification: 8.875
96.73.116.75, Amplification: 4.5
96.71.186.229, Amplification: 8.46875
95.85.95.85, Amplification: 1.875
97.105.207.90, Amplification: 6.75
95.97.79.58, Amplification: 8.875
96.56.235.235, Amplification: 1.875
95.87.216.107, Amplification: 6.125
96.39.26.82, Amplification: 16.0
95.87.197.230, Amplification: 1.875
95.80.217.164, Amplification: 6.125
95.85.217.67, Amplification: 1.875
96.36.9.12, Amplification: 14.875
96.57.76.250, Amplification: 1.875
96.36.19.25, Amplification: 8.875
96.127.147.37, Amplification: 1.875
96.250.208.198, Amplification: 1.875
95.85.216.162, Amplification: 13.375
96.234.178.73, Amplification: 8.875
95.97.113.102, Amplification: 1.875
96.70.191.213, Amplification: 4.5
96.231.106.122, Amplification: 13.09375
95.87.27.227, Amplification: 6.125
96.53.102.66, Amplification: 1.875
96.35.169.218, Amplification: 1.875
96.65.169.149, Amplification: 1.875
